Type,X,Y,OBJECTID,Citation_N,Date,Address,Ordinance,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
TAG,-93.229373,44.972562,126,2.71119E+11,2019-02-12T00:00:00.000Z,622 DELAWARE ST SE,478.1000(a),44.972562,-93.229373,2,University,University of Minnesota,4,1,Westminster
TAG,-93.235286,44.982883,127,2.71119E+11,2019-02-12T00:00:00.000Z,1301 6TH ST SE,478.1000(a),44.982883,-93.235286,3,University,Marcy Holmes,4,1,Westminster
TAG,-93.229407,44.972559,128,2.71119E+11,2019-02-12T00:00:00.000Z,620 DELAWARE ST SE,478.1000(a),44.972559,-93.229407,2,University,University of Minnesota,4,1,Westminster
TAG,-93.23486,44.982734,129,2.71119E+11,2019-02-12T00:00:00.000Z,1318 6TH ST SE,478.1000(a),44.982734,-93.23486,3,University,Marcy Holmes,4,1,Westminster
TAG,-93.229854,44.972476,130,2.71119E+11,2019-02-12T00:00:00.000Z,606 DELAWARE ST SE,478.1000(a),44.972476,-93.229854,2,University,University of Minnesota,4,1,Westminster
TAG,-93.229669,44.972548,131,2.71119E+11,2019-02-12T00:00:00.000Z,612 DELAWARE ST SE,478.1000(a),44.972548,-93.229669,2,University,University of Minnesota,4,1,Westminster
TAG,-93.229811,44.972514,132,2.71119E+11,2019-02-12T00:00:00.000Z,610 DELAWARE ST SE,478.1000(a),44.972514,-93.229811,2,University,University of Minnesota,4,1,Westminster
TAG,-93.22867,44.973487,133,2.71119E+11,2019-02-12T00:00:00.000Z,305 WALNUT ST SE,478.1000(a),44.973487,-93.22867,2,University,University of Minnesota,4,1,Westminster
TAG,-93.2288,44.972994,134,2.71119E+11,2019-02-12T00:00:00.000Z,316 WALNUT ST SE,478.1000(a),44.972994,-93.2288,2,University,University of Minnesota,4,1,Westminster
TAG,-93.228732,44.972902,135,2.71119E+11,2019-02-12T00:00:00.000Z,320 WALNUT ST SE,478.1000(a),44.972902,-93.228732,2,University,University of Minnesota,4,1,Westminster
TAG,-93.272443,44.945032,136,2.71119E+11,2019-02-13T00:00:00.000Z,306 32ND ST E,478.1000(b),44.945032,-93.272443,9,Powderhorn,Central,5,2,Westminster
TAG,-93.29056,44.965638,137,2.71119E+11,2019-02-13T00:00:00.000Z,1786 BRYANT AVE S,478.1000(b),44.965638,-93.29056,7,Calhoun Isle,Lowry Hill,3,2,Westminster
TAG,-93.28183,44.91771,138,2.71119E+11,2019-02-13T00:00:00.000Z,4102 PILLSBURY AVE,478.1000(b),44.91771,-93.28183,11,Southwest,Tangletown,5,2,Westminster
TAG,-93.271693,44.962324,139,2.71119E+11,2019-02-13T00:00:00.000Z,2002 CLINTON AVE S,478.1000(b),44.962324,-93.271693,10,Powderhorn,Whittier,3,2,Westminster
TAG,-93.220328,44.986163,140,2.71119E+11,2019-02-13T00:00:00.000Z,2300 FAIRMOUNT ST SE,478.1000(b),44.986163,-93.220328,2,University,Como,4,2,Westminster
TAG,-93.249789,44.99081,141,2.71119E+11,2019-02-13T00:00:00.000Z,724 2ND AVE SE,478.1000(b),44.99081,-93.249789,3,University,Marcy Holmes,2,2,Westminster
TAG,-93.28334,45.012844,142,2.71119E+11,2019-02-13T00:00:00.000Z,3122 3RD ST N,478.1000(b),45.012844,-93.28334,5,Near North,Hawthorne,1,2,Westminster
TAG,-93.235739,44.993251,143,2.71119E+11,2019-02-13T00:00:00.000Z,1200 WINTER ST NE,478.1000(b),44.993251,-93.235739,1,University,Como,2,2,Westminster
TAG,-93.289658,44.983029,144,2.71119E+11,2019-02-13T00:00:00.000Z,700 5TH AVE N,478.1000(b),44.983029,-93.289658,5,Near North,Sumner - Glenwood,3,2,Westminster
TAG,-93.290527,44.965109,145,2.71119E+11,2019-02-13T00:00:00.000Z,1804 BRYANT AVE S,478.1000(b),44.965109,-93.290527,7,Calhoun Isle,Lowry Hill,3,2,Westminster
TAG,-93.277147,44.944885,146,2.71119E+11,2019-02-13T00:00:00.000Z,6 32ND ST E,478.1000(b),44.944885,-93.277147,8,Powderhorn,Lyndale,5,2,Westminster
