OBJECTID,OFT_1,STREET_O_NAME_1,STREET_F_NAME_1,STREET_T_NAME_1,NETWORK,BRANCH,SECTION,PAVEMENT,BASE,CONST_YR,RENOVATION_YR,SEALCOAT_YR,SEALCOAT_COUNT,OVERLAY_YR,PCI,PCI_BRANCH_AVG,LENGTH,COMMENTS_1,COMMENTS_2,INSPECTION_DATE,REFNO_ALL
5356,4.36402E+11,36 1/2 ST E,23RD AVE S,24TH AVE S,RES,2735,10,ASPHALT7,CRUSH.CONC,1983,,1999,3,,,69,440,,,2013-07-11T00:00:00.000Z,4090
5357,3200171319,3RD AVE S,1ST ST S,CENTRAL AVE SE,STH,65,BRG,BRIDGE,NONE,,,,,,,,1090,,,,334
5358,4.59403E+11,59 1/2 ST E,26TH AVE S,27TH AVE S,RES,2627,12,ASPHALT7m,CLASS 3,1972,,,,2011,,88,297,,,2014-08-05T00:00:00.000Z,6464
5359,3.31905E+11,WENTWORTH AVE,45TH ST W,44TH ST W,RES,2698,3,ASPHALT7,CRUSH.CONC,1979,,2004,3,,,67,659,,,2011-05-23T00:00:00.000Z,12143
5360,2.34322E+11,WEST MINNEHAHA PKWY,WEST LAKE HARRIET PKWY,PARK DR,PRKBD,MINNPK,1W,ASPHALT9,S.GRAN.MAT.,1973,2004,2013,2,,90,,273,,,2011-11-18T00:00:00.000Z,12259
5361,2.34326E+11,WEST MINNEHAHA PKWY,PARK DR,IRVING AVE S,PRKBD,MINNPK,1W,ASPHALT9,S.GRAN.MAT.,1973,2004,2013,2,,90,,36,,,2011-11-18T00:00:00.000Z,12260
5362,6700220032,6TH ST S,2ND AVE S,3RD AVE S,LOCAL,06STS,2,ASPH/CONC,UNKNOWN,1954,,,,2011,100,,408,,,2011-11-01T00:00:00.000Z,786
5363,6800830093,6TH ST SE,8TH AVE SE,9TH AVE SE,RES,2251,8,ASPHALT7m,S.GRAN.MAT.,1976,2004,2005,1,,,91,230,,,2012-11-08T00:00:00.000Z,811
5364,8331040048,8TH AVE SE,UNIVERSITY AVE SE,4TH ST SE,RES,2251,4,ASPHALT7m,S.GRAN.MAT.,1976,2004,2005,1,,,91,412,,,2012-11-08T00:00:00.000Z,933
5365,8801030113,8TH ST SE,10TH AVE SE,11TH AVE SE,MSA,231,4,ASPHALT9,S.GRAN.MAT.,1973,,1984,1,,35,,416,,,2011-08-31T00:00:00.000Z,969
5366,9713260092,9TH ST S,CHICAGO AVE,9TH AVE S,LOCAL,09STS,2,ASPHALT9,S.GRAN.MAT.,1983,,,,,60,,337,"Pavement Exception: THE WESTERLY 140'+/- OF THIS SECTION WAS PAVED IN 1985, SAP165-13.",,2009-11-05T00:00:00.000Z,1005
5367,10203340324,10TH AVE S,33RD ST E,32ND ST E,RES,2652,3A,ASPHALT7m,S.GRAN.MAT.,1976,,2006,3,,,73,569,,,2013-08-26T00:00:00.000Z,1060
5368,3.20804E+11,VINCENT AVE N,36TH AVE N,37TH AVE N,RES,2630,5,CONCRETE7,S.GRAN.MAT.,1971,,,,,,73,661,,,2013-08-01T00:00:00.000Z,11902
5369,3.20804E+11,VINCENT AVE N,39TH AVE N,40TH AVE N,RES,2610,3,CONCRETE7,S.GRAN.MAT.,1969,,,,,,82,658,,,2012-05-01T00:00:00.000Z,11905
5370,3.40205E+11,XERXES AVE S,54TH ST W,53RD ST W,CSAH,31,2,ASPH/CONC,UNKNOWN,1959,,,,2009,,,664,,,,12427
5371,3.40205E+11,XERXES AVE S,52ND ST W,51ST ST W,CSAH,31,2,ASPH/CONC,UNKNOWN,1959,,,,2009,,,657,,,,12429
